001293G	Bachelor of Nursing
001300B	Bachelor of Arts
100201	Master of Psychology (Clinical)/Doctor of Philosophy
100202	Master of Psychology (Educational and Developmental)/Doctor of Philosophy
100749	Diploma in Liberal Arts
101322	Bachelor of Nutrition Science (Honours)
101323	Bachelor of High Performance Sport (Honours)
101324	Bachelor of Exercise and Sports Science/Bachelor of Nutrition Science
101567	Foundation Studies
102075	Bachelor of Education (Primary and Secondary)
102076	Bachelor of Education (Primary and Special Education)
102077	Bachelor of Education (Secondary)
102078	Bachelor of Education (Secondary and Special Education)
102079	Bachelor of Education (Secondary)/Bachelor of Arts (Humanities)
102080	Bachelor of Education (Secondary)/Bachelor of Arts (Mathematics)
102082	Bachelor of Education (Secondary)/Bachelor of Arts (Design Innovation and Technologies)
102083	Bachelor of Education (Secondary)/Bachelor of Arts (Visual Arts)
102084	Bachelor of Education (Secondary)/Bachelor of Exercise Science
013149E	Bachelor of Inclusive Education and Disability Studies
017634D	Study Abroad A
017635C	Study Abroad B
017784A	Master of Philosophy
029061D	Bachelor of Theology
030125E	General English
040344M	Bachelor of Visual Arts and Design
040836B	Bachelor of Education (Primary)
048590K	Graduate Certificate in Business Administration
051777F	Master of Teaching (Secondary)
052327B	Diploma in Visual Arts and Design
055926K	Master of Teaching (Primary)
057435B	IELTS Test Preparation
061891K	Bachelor of Arts (Honours)
061896E	Bachelor of Nursing (Honours)
061898C	Bachelor of Theology (Honours)
063671F	English for Academic Purposes
063890F	Bachelor of Education (Early Childhood and Primary)
063898J	Diploma in Business Information Systems
066741F	Master of Social Work
068234J	Bachelor of Teaching/Bachelor of Arts (Humanities)
068235G	Bachelor of Teaching/Bachelor of Arts (Mathematics)
068237F	Bachelor of Teaching/Bachelor of Arts (Visual Arts)
068238E	Bachelor of Commerce
068239D	Bachelor of Commerce (Honours)
068241K	Bachelor of Arts/Bachelor of Commerce
069051G	Bachelor of Exercise and Sports Science
069052G	Bachelor of Exercise and Sports Science (Honours)
071003J	Graduate Certificate in Information Technology
071241F	Bachelor of Information Technology
071515G	Bachelor of Physiotherapy
072325E	Diploma in Commerce
073336E	Bachelor of Business Administration
073628D	Tertiary Preparation Program (Health Sciences)
074588K	Bachelor of Nursing / Bachelor of Business Administration
074604D	Bachelor of International Development Studies
074605C	Bachelor of Business Administration / Bachelor of Global Studies
074606B	Bachelor of Arts / Bachelor of Global Studies
074607A	Bachelor of Commerce/Bachelor of Global Studies
074608M	Bachelor of Theology/Bachelor of Global Studies
076036D	Master of Clinical Exercise Physiology
076790C	OET Preparation
078169G	Bachelor of Commerce/Bachelor of Business Administration
078172B	Bachelor of Occupational Therapy
078173A	Bachelor of Psychological Science
078174M	Bachelor of Speech Pathology
078731J	Exchange A
078736D	Exchange B
079428G	Bachelor of Arts / Bachelor of Laws
079430C	Bachelor of Business Administration / Bachelor of Laws
079432A	Bachelor of Commerce / Bachelor of Laws
079434K	Bachelor of Laws (Graduate Entry)
079436G	Bachelor of Laws / Bachelor of Global Studies
079438F	Bachelor of Laws
079440A	Bachelor of Theology / Bachelor of Laws
079442K	Bachelor of Exercise Science/Bachelor of Applied Public Health
079445G	Bachelor of Applied Public Health / Bachelor of Global Studies
079448D	Bachelor of Exercise Science / Bachelor of Business Administration
079451J	Bachelor of Applied Public Health
079454F	Bachelor of Accounting and Finance
079874G	Master of Information Technology
082139B	Bachelor of Information Technology/Bachelor of Business Administration
083210C	Graduate Diploma in Psychology
083212A	Bachelor of Education (Early Childhood and Primary) (Honours)
083213M	Bachelor of Early Childhood Education (Birth to Five Years)
083215J	Bachelor of Psychological Science (Honours)
083322F	Bachelor of Speech Pathology (Honours)
084316G	Bachelor of Youth Work
084317F	Diploma in Business
084319D	Diploma in Youth Work
084320M	English for the Workplace
084322J	Graduate Certificate in Health Administration
