data,result-item-content1
40028 Associate Degree in Health,Program
40167 Associate Degree in Science,Program
50050 Associate Degree in Surveying,Program
12242 Bachelor of Aboriginal Professional Practice,Program
12343 Bachelor of Aboriginal Professional Practice/Bachelor of Laws(Honours),Program
11435 Bachelor of Aboriginal Studies (Honours),Program
40349 Bachelor of Aerospace Systems Engineering (Honours),Program
40181 Bachelor of Aerospace Systems Engineering (Honours),Program
40299 Bachelor of Aerospace Systems Engineering (Honours)/Bachelor of Mechanical Engineering (Honours),Program
40348 Bachelor of Aerospace Systems Engineering (Honours)/Bachelor of Mechanical Engineering (Honours),Program
40302 Bachelor of Aerospace Systems Engineering (Honours)/Bachelor of Mechatronics Engineering (Honours),Program
40347 Bachelor of Aerospace Systems Engineering (Honours)/Bachelor of Mechatronics Engineering (Honours),Program
10435 Bachelor of Arts,Program
40096 Bachelor of Arts,Program
40209 Bachelor of Arts (Honours),Program
40124 Bachelor of Arts/Bachelor of Innovation and Entrepreneurship,Program
12340 Bachelor of Arts/Bachelor of Laws (Honours),Program
40150 Bachelor of Arts/Bachelor of Laws (Honours),Program
40168 Bachelor of Arts/Bachelor of Science,Program
40097 Bachelor of Biomedical Science,Program
10988 Bachelor of Biomedical Science (Honours),Program
40312 Bachelor of Biomedicine,Program
40280 Bachelor of Biomedicine/Bachelor of Laws (Honours),Program
10981 Bachelor of Biotechnology,Program
10982 Bachelor of Biotechnology (Honours),Program
50034 Bachelor of Business,Program
40027 Bachelor of Business,Program
11060 Bachelor of Business (Honours),Program
40263 Bachelor of Business Analytics,Program
40264 Bachelor of Business/Bachelor of Business Analytics,Program
50066 Bachelor of Business/Bachelor of Commerce,Program
40035 Bachelor of Business/Bachelor of Commerce,Program
40016 Bachelor of Business/Bachelor of Innovation and Entrepreneurship,Program
50036 Bachelor of Business/Bachelor of Laws (Honours),Program
40036 Bachelor of Business/Bachelor of Laws (Honours),Program
50048 Bachelor of Business/Bachelor of Media and Communication,Program
40339 Bachelor of Chemical Engineering (Honours),Program
40055 Bachelor of Chemical Engineering (Honours),Program
40350 Bachelor of Chemical Engineering (Honours)/Bachelor of Business,Program
40078 Bachelor of Chemical Engineering (Honours)/Bachelor of Business,Program
40079 Bachelor of Chemical Engineering (Honours)/Bachelor of Mathematics,Program
40351 Bachelor of Chemical Engineering (Honours)/Bachelor of Mathematics,Program
40197 Bachelor of Chemical Engineering (Honours)/Bachelor of Science,Program
40080 Bachelor of Chemical Engineering (Honours)/Bachelor of Science,Program
40352 Bachelor of Chemical Engineering (Honours)/Bachelor of Science,Program
40231 Bachelor of Civil Engineering (Honours),Program
40054 Bachelor of Civil Engineering (Honours),Program
40354 Bachelor of Civil Engineering (Honours),Program
40356 Bachelor of Civil Engineering (Honours)/Bachelor of Business,Program
40082 Bachelor of Civil Engineering (Honours)/Bachelor of Business,Program
40083 Bachelor of Civil Engineering (Honours)/Bachelor of Environmental Engineering (Honours),Program
40353 Bachelor of Civil Engineering (Honours)/Bachelor of Environmental Engineering (Honours),Program
40084 Bachelor of Civil Engineering (Honours)/Bachelor of Mathematics,Program
40357 Bachelor of Civil Engineering (Honours)/Bachelor of Mathematics,Program
40085 Bachelor of Civil Engineering (Honours)/Bachelor of Surveying (Honours),Program
40358 Bachelor of Civil Engineering (Honours)/Bachelor of Surveying (Honours),Program
40245 Bachelor of Climate Science and Adaptation,Program
40210 Bachelor of Coastal and Marine Science,Program
50037 Bachelor of Commerce,Program
40029 Bachelor of Commerce,Program
10801 Bachelor of Commerce (Honours),Program
50039 Bachelor of Commerce/Bachelor of Business Analytics,Program
